Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
AMI & MDM diagram and data flow,AMI-XXX4,AMI,AMI,AMI & MDM diagram and data flow,AMI,Request Received,"help improving slides to communicate systems and data flows, starting with a meter to cash look and adding outage data and other systems.",,,,,,,GPC,AMI,Wesley Granade,GPC,,,,,,,,,,
AMI Asset Utilization Dashboard,AMI-0003,AMI,AMI,AMI Asset Utilization Dashboard,Asset Management,In Development,"Reporting suite of dashboards to show utilization of assets (meters, transformers, feeders that are rolled up to a substation etc) Allows us to identify idle assets, assets overloaded and underulitized.",,,,,,,APC; GPC,"PD Engineering, GSS, DCC",Joyce Solomon,APC,2024-01-10,,,,,https://app.powerbi.com/groups/ca81d8e0-c93e-437d-9cdd-cee8c1ddfb3e/list?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,,
AMI Meter Linking,AMI-0002,AMI,AMI,AMI Customer Grid Linkage (T-M Linking),AMI,Done - Deployed without Maintenance,"Outsystems app for front-end user to provide feedback when correcting linkage in GIS, model database, and PBi for prediction insights",,,,,,,APC; GPC,GSS,Joyce Solomon,APC,,2025-03-31,,,https://outsystems.southernco.com/CGL/,https://ua-outsystems.southernco.com/CGL/,https://outsystems.southernco.com/CGL/,,,
AMI Meter Linking,AMI-0002-1,AMI,AMI,AMI Customer Grid Linkage (T-M Linking),AMI,Done - Deployed without Maintenance,"Outsystems app for front-end user to provide feedback when correcting linkage in GIS, model database, and PBi for prediction insights",,,,,,,APC; GPC,GSS,Joyce Solomon,APC,,2025-03-31,,,https://outsystems.southernco.com/CGL/,https://ua-outsystems.southernco.com/CGL/,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,
AMI Daily Sales Dashboard,AMI-XXX8,AMI,AMI,AMI Daily Sales Dashboard,AMI,Request Received,Visualization of daily sales of kWh per customer class to drop to revenue accounting team,,,,,,,APC,AMI,Myrna Merced,APC,,,,,,,,,,
AMI Lost Meters,AMI-0011,AMI,AMI,AMI Lost Meters,AMI,In Development,Clean up of AMI created dashboard,Developed a frontend tool on top of an AMI Analytics model which predicts the approximate locations of lost meters.,AMI operations teams at APC.,"The tool helps users identify lost meters, prioritize them by their recent usage, and visualize the predicted location of the lost meter and similar meters around it. Provides necessary context for troubleshooting and identification.",ML & Data Science; ETL & Data Visualization; Application Development,,Joyce Solomon,APC,AMI,Joyce Solomon,APC,,,70,1,,,,,,
AMI Phase Correction,AMI-0004,AMI,AMI,AMI Phase Correction,AMI,In Development,PowerBI(for insight display) and OutSystem app development (front end user feedback tool)for AMI Phase Correction project,,,,,,,GPC,GSS,Joyce Solomon,APC,2024-01-09,2025-07-18,,,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,https://outsystems-servicestudio.southernco.com/CGL/,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,
AMI Product Video Development,AMI-XXX1,AMI,AMI,AMI Product Video Development,AMI,Done - Deployed without Maintenance,Specialized suite of video productions of product suite for Joyce's team,,,,,,,APC,AMI,Joyce Solomon,APC,,,,,,,,,,
AMI Reporting - Level 3,AMI-XXXX,AMI,AMI,AMI Reporting - Level 3,AMI,Done - Deployed without Maintenance,Level 3 reporting suite revamp,,,,,,,APC,AMI,Joyce Solomon,APC,,,,,,,,,,
AMI/MDM Supporting documentation and branding materials,AMI-XXX2,AMI,AMI,AMI/MDM Supporting documentation and branding materials,AMI,Done - Deployed without Maintenance,"Suite of instructions on use of AMI tools and dashbaords. Inclusive of AMI Matchmaking, AMI Open House, AMI Industry Show, AMI logo creation, AMI dashboad standardization, and other misc small projects for AMI",,,,,,,APC,AMI,Joyce Solomon,APC,,2000-01-01,,,,,,,,
